	TF	target	importance	regulation	rho
11769	AFF4	ZFAND3	0.5180493521518815	1	0.8272481848529507
11863	AFF4	CLASP1	0.4815282452164967	1	0.8074046788985721
12379	AFF4	CTNND2	0.2003681110905763	1	0.8236971441206661
12410	AFF4	ANK2	0.1252434982000485	1	0.8234134209249799
12467	AFF4	KMT2C	0.0962867552632774	1	0.8195516032361781
12513	AFF4	BRAF	0.5741312190799662	1	0.8025760207605316
12562	AFF4	NF1	0.6493391972207854	1	0.8079305704055052
12916	AFF4	ASH1L	0.4832997909831314	1	0.8049991946600722
12977	AFF4	EXOC4	0.0704374456446932	1	0.8021359337554255
12982	AFF4	TNRC6A	0.2471187958294184	1	0.8003871588808391
13016	AFF4	KIF1B	0.0229507627061398	1	0.8342185555311856
13066	AFF4	SBF2	0.0582909835671348	1	0.8003470329238677
13088	AFF4	MKLN1	0.0191215843239937	1	0.8137971122371801
13493	AFF4	TNRC6B	0.1273432920880887	1	0.8202156227323606
13763	AFF4	BIRC6	0.466766067858319	1	0.8123783708066162
13764	AFF4	MARCH6	0.739476307298473	1	0.8084163086036322
14243	AFF4	JMJD1C	0.4881374794832798	1	0.8030603722137574
14534	AFF4	MED13L	0.1461617854081085	1	0.8129270859533998
14557	AFF4	CSNK1A1	0.4754026006343872	1	0.8080989749123871
14572	AFF4	ZMYM2	0.7208839160134706	1	0.8075626024858618
14678	AFF4	MALAT1	0.0745085137018629	1	0.8730040647579861
15219	AFF4	ARID1B	0.0145297456560683	1	0.8051179491991591
15300	AFF4	CLASP2	0.0144872276032457	1	0.8071398307261768
16234	AFF4	PRKCA	0.5290666503024921	1	0.8040176361839936
16298	AFF4	ANKRD17	0.530319570284732	1	0.8144965067755836
16532	AFF4	KANSL1	0.5033946981409131	1	0.8196765147809371
17738	AFF4	AKT3	0.0439664357870905	1	0.8143641012317901
17920	AFF4	MBD5	0.0829749551338584	1	0.807245212285627
18109	AFF4	GOLGA4	0.0557601487425521	1	0.8011351257928815
18698	AFF4	ATXN2	0.569264857415207	1	0.820636209322047
18699	AFF4	UBR3	0.4911401116773725	1	0.8004534439099275
18701	AFF4	CHD9	0.0304239904507902	1	0.8000553813752971
32408	ALX4	GPC3	0.8476153457831352	1	0.892470043791784
32613	ALX4	SHOX	1.128527161188854	1	0.9393906875185214
32749	ALX4	COL6A3	0.8017619002062397	1	0.8882443694570332
