	Gene_0	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49
Cell_0	0.9457049003	-0.08109055628	0.01449875904	0.005547983162	0.0001313210713	-0.006205561291	-0.2070981458	-0.1769544697	0.01591388117	-0.002389497092	1.794845139	0.0007178435551	0.05793966856	-0.0001723338457	0.007697595738	-9.257167315e-06	-0.0002022161187	-0.0008555653065	0.003522724219	4.3235085e-05	-0.008448910316	-0.04776906627	0.01978325153	5.762880066e-05	-0.07561588749	-0.024544472	-1.199198016	0.00769550368	0.0249371326	-0.0004592451563	0.007113828922	-0.05720101428	-2.506205553	-0.02377583251	-0.1984839065	-0.007782545786	0.001785433138	-2.384901391	0.0292140164	0.01089981309	2.706367121e-05	0.0007103215111	-0.001798162647	0.0001331876923	-0.0003755804435	0.01068291463	0.002761105275	-0.0001176267183	0.09846915776	0.00557163231
Cell_1	0.001341237208	0.7292830412	-0.09784547197	-0.03622463328	-1.880683109e-05	1.625652709e-06	-0.0008085870958	0.4321748377	-0.0628622212	0.0135445831	0.002030275509	0.0470581379	-0.4928401607	2.136049708e-05	-0.05140950514	-8.83707532e-06	0.001696074999	0.001565653654	-0.02891572832	-7.407314079e-05	-0.02908469074	0.4315636484	0.06809579438	-5.497807262e-05	-0.2624115173	-0.329808269	-0.001355754893	-0.01307162102	-0.09646435338	-0.02499318889	0.02419092081	0.5148364027	0.4363261189	0.1791647202	0.2205115378	-0.02639629827	0.03646612274	-0.01053547003	0.03324447231	0.03842652757	6.427521077e-05	-0.01730682897	0.01020121495	-3.221881566e-05	0.0008120997454	-0.01778095583	-0.0093032124	-6.302653036e-05	0.6374179581	0.1146387063
Cell_2	-0.001818314402	-0.0007010353125	0.8310529394	0.004168496685	4.949483102e-05	-0.0001163023109	0.004054104056	0.001080097265	0.003810609633	-0.001272857584	-0.002323052191	-0.04229997876	0.01592693529	-0.0001641434833	0.005853081483	-1.018503359e-05	-0.0001526451381	-0.004710210019	0.002985199437	-2.181738521e-05	-1.563307739e-05	-0.000281042369	0.0004189517196	-8.297390176e-05	0.0003141099048	-0.02553235063	0.001663734709	0.03984477009	0.005501422589	0.02241357274	-4.830187291e-05	-0.000452477258	0.002251823616	-0.01918591971	0.002357134951	-0.0001359773228	-0.003958757803	0.02719371107	0.008283743365	-0.0001501671239	-6.343951617e-05	0.01573917025	-0.0008082652806	-6.366180321e-05	-0.002527121819	0.05376138426	0.001123528743	-1.825662329e-05	-0.0006623257875	-0.01230735917
Cell_3	0.005810594046	0.02150140856	0.02472771687	0.8351025243	8.851051906e-05	-2.052957159e-05	0.01257758209	0.004720374858	0.05680713901	0.2470742234	0.01084213821	0.02835516123	-0.02574624174	0.000124298928	-0.6298207848	-8.772142904e-06	0.03154143142	0.001446436708	-0.3539075889	4.941320039e-06	0.005535840835	-0.01605178558	-0.00520650767	-9.742972557e-05	0.01937864929	0.03184695286	-0.00741893746	-0.01162046285	-0.03046835538	-0.01510249379	-0.004602661636	0.01504586728	-0.001647548813	0.01893340296	-0.00439384005	0.001990202109	0.003926633433	-0.02147245656	-0.005642169085	-0.00128583883	8.108331988e-05	-0.04848760946	0.1836961969	-3.766944971e-05	0.0008902467823	-0.01562856663	-0.2040706295	-6.463248771e-05	-0.02498227316	0.01212804809
Cell_4	-0.005413995704	-0.02084950096	-0.02583546341	-0.03284646531	0.626961445	-3.690069925e-05	-0.01931119624	-0.002284053731	0.09385455907	-0.3266309373	-0.01062396932	0.02111592154	0.007811028532	0.0001117657787	-0.046419992	1.509718327e-05	-0.04169116069	0.001052925551	-0.03574485727	7.438162065e-05	-0.007737606218	0.02729607225	0.003834769688	-2.448420156e-06	-0.02970532355	0.007077879515	0.007189142687	-0.009964702406	0.1564636087	-0.01130399291	0.006464097334	-0.0147552377	0.002290670868	0.2018537833	0.006988221452	-0.001457814527	0.04132277937	0.008175002265	0.02316947501	0.002373065359	4.990956424e-05	0.04478855795	-0.2427823182	0.0001445697013	0.0006165106718	-0.01343517491	-0.2869987764	7.308003017e-05	0.04218117726	0.1289371177
Cell_5	0.00508596824	0.04112389789	0.02497457371	0.005713867109	-0.0001925043249	0.9399850408	0.009907177201	0.004770926425	0.114626411	0.2180617457	0.009049289437	0.01733341534	-0.0359154213	6.565290691e-05	0.008119576586	-2.752652598e-05	0.02790517193	0.002682916292	-0.007332297202	-9.120716536e-05	0.007284522102	-0.03108372367	-0.008023518787	-2.555349004e-05	0.03795487463	-0.411865022	-0.00594529601	-0.02348458067	0.1842408686	-0.009198281614	-0.006084169591	0.02879883515	0.01301030669	0.01990156313	-0.01393725988	0.003073017724	-0.9875324427	-0.02583451996	-0.6611125997	-0.004307140787	0.0001095477377	-0.04131449005	0.1620220131	-0.0001148237131	0.001516648998	-0.03162359359	-0.1800314963	-7.693207307e-05	-0.04909634058	-3.096561039
Cell_6	-3.216897833e-05	9.539377367e-05	5.863807633e-05	-7.80767239e-05	2.099932162e-05	-2.339354379e-05	0.890144067	1.260210701e-06	7.011639496e-05	5.508199611e-05	-9.233034038e-05	-0.0001854726341	-1.450603998e-05	-8.136524463e-05	7.979810257e-05	-7.706676374e-05	4.86450374e-05	-8.218952293e-06	-2.250618223e-05	0.0001766030077	-3.689633814e-05	-0.0001767124968	-5.274314849e-05	0.0001105969602	-5.583331512e-05	-8.578029261e-05	3.535506662e-05	3.630124401e-05	9.635289012e-05	-7.842493748e-05	0.0001592114884	-8.285635013e-05	-7.192057666e-05	1.27665446e-05	0.0001460379815	-0.0001051927962	-8.327506447e-06	-9.262921518e-06	7.325540449e-05	0.00013295793	3.252550126e-05	-6.959733848e-05	4.873791716e-05	1.275338872e-05	7.458573185e-06	4.569647928e-05	1.826485181e-05	-6.380243182e-05	-1.761957112e-05	-0.0001585980179
Cell_7	-5.55067976e-05	-1.248764894e-06	-0.0001202628864	7.296912392e-05	2.246779148e-05	4.014231556e-05	-5.768434459e-05	0.8504299861	-5.723170545e-05	-0.0001397737581	-0.0001291599189	3.96995773e-05	2.021673369e-06	-2.805371642e-05	-2.363685969e-05	1.622304301e-05	0.0001481178341	-5.248291513e-05	4.167614415e-05	-0.0001212364994	-3.029965784e-05	8.461444179e-05	9.002981358e-05	-4.295190605e-05	3.588996441e-05	1.722745793e-05	8.949988194e-05	8.123810049e-05	0.0001069583208	-5.505561417e-05	0.000104918324	-0.0001797792137	4.105602238e-05	-5.455638778e-05	-1.416236736e-05	-3.108975056e-05	-6.579139372e-05	-0.0001122102288	-6.74017132e-05	-2.472755118e-05	-9.067973706e-06	6.957535419e-06	2.162771746e-05	-7.78417554e-05	3.414507135e-05	-3.093247185e-05	4.660862289e-06	6.407725738e-05	-4.830409975e-05	-1.144882635e-05
Cell_8	0.002175920643	0.002245895989	0.007364558923	0.05816914676	3.107447934e-05	9.854262251e-05	-0.002418537634	-0.0005774504362	0.7474329441	0.01935811988	0.002793637111	0.03802795644	-0.01540353415	1.911732622e-07	0.08219613121	-0.0001202926752	0.002416233131	0.004173383019	-0.02852420452	-2.832308187e-05	0.0003252919008	-0.0008832237774	-0.0007826615149	-3.744453566e-05	0.001041487362	0.02416972161	-0.001830152927	-0.03475783445	1.199013885	-0.02018671016	-0.0001693923008	0.001591975194	-0.001861410798	0.01768985015	-0.002374910387	0.0002694095278	0.003484022156	-0.02444590966	-0.007569743088	9.67007072e-05	-0.0001197902474	-0.01682830595	0.01439043691	5.784496888e-05	0.002126345389	-0.04679577046	-0.01591551723	-9.865855476e-05	-0.001185668731	0.011315594
Cell_9	0.01695534409	-0.09394666035	0.04461418692	0.03431597123	4.183749984e-05	-0.0001975988168	-0.06073393727	-0.02666660263	0.2996489752	1.027178816	0.0344732645	-0.05116511622	0.08589149793	-1.057395578e-05	0.04849154576	3.61979732e-05	-0.134853487	-0.008348122183	-0.001911332745	6.686907188e-07	-0.02409349982	0.06785291363	0.01222927684	-0.0001062050139	-0.08635407932	-0.09543853771	-0.02298793313	0.07327559652	0.4791422617	0.02707778433	0.0198487195	-0.0662020098	-0.1047624254	-0.05078081472	0.01165869167	-0.00471592784	-0.01021348004	-0.002074037919	0.01110765068	0.006504702006	1.251489846e-05	-0.1423898491	-0.7825151853	-4.743224325e-06	-0.004477979601	0.09836603213	-0.8451614849	0.0001151792631	0.1120542639	-0.03212563774
Cell_10	-0.000341175457	-0.0681286091	0.0123489402	0.004526346677	5.434538561e-05	-0.003661581155	0.0005325282305	-0.2259189147	0.01150777056	-0.001833458172	1.061088917	0.0004184629449	0.04869325374	-4.448467313e-05	0.006504881727	0.000123371825	-0.0001343312156	-0.0007788837394	0.003109296208	8.454992374e-05	-0.007000779324	-0.04026416173	0.0165512681	6.069353311e-05	-0.06356077443	-0.007255517239	-0.7088324746	0.006588297464	0.01776987596	-0.0003838471194	0.005949827362	-0.04813077709	-2.108937732	-0.02017817501	-0.2710438394	-0.00644501701	-0.0002149795166	-3.073250772	0.01701472348	0.009451309935	0.0001096544922	0.0005411720126	-0.001398117092	0.000140880248	-0.0003591951239	0.008954207195	0.001848093138	0.0001923970214	0.08263051744	-0.0006139354953
Cell_11	0.01637346653	0.00775160978	0.05743880318	-0.05360468636	3.560505415e-05	-0.0002122599171	0.03886546853	0.01694901082	-0.04723951551	0.01607815252	0.04497142228	0.5499337649	-0.2055391955	-1.519432761e-05	-0.07564613409	4.438876809e-05	0.001947516035	-0.05289994792	-0.0386075718	1.569761451e-05	-0.0003991799912	0.00434392674	-0.00542367392	-2.544365042e-05	-0.005221815887	0.3249009433	-0.03012739149	0.452413899	-0.06852084248	-0.2916210989	0.0002038075167	0.005505648102	-0.06476368567	0.2485611013	0.02465117955	0.002135966484	0.05086610754	0.2112654171	-0.105023705	0.0009515374336	-0.0001139468027	-0.1362625513	0.01199211454	-3.515230227e-05	-0.02807143172	0.6096442675	-0.01340911202	-0.0001271801126	0.01065041438	0.1594568509
Cell_12	-0.009905393895	-0.04706069108	-0.02947995527	0.2385377866	1.752854294e-07	0.000182723524	0.01296669916	-0.02172011652	0.01670277946	-0.08219184473	-0.01366440975	-0.1934976902	0.9851434452	-1.54146317e-05	0.3374507492	-5.556030218e-05	-0.01041456834	-0.02018029137	0.1914087259	1.795374069e-05	0.0005053434815	-0.02559734154	-0.001325912642	-4.714177584e-05	0.01519122796	-0.1984476613	0.009188246747	0.1714435161	-0.008317426279	0.1027711726	-0.0004654249521	-0.03308275183	-0.01285840677	-1.185451851	-0.003706815489	0.0004452746974	-0.2419860083	0.1208860841	-0.1113517131	-0.002634269648	-8.8612482e-06	0.08278689317	-0.06118120047	0.0001100406571	-0.01066456022	0.2311198402	0.06767508389	-6.284195181e-05	-0.03857273346	-0.7582583159
Cell_13	-0.1956817636	0.01734462773	-0.7016426698	-0.004601990356	-2.203706666e-05	0.001454438135	0.03975774928	0.03587610404	-0.006578889022	0.001670167317	-0.372554038	0.03542761854	-0.02545429944	3.810252498	-0.006640608016	-8.734485666e-05	0.0001289215155	0.004154817353	-0.003076622156	-1.926615667e-05	0.001853299019	0.01035139066	-0.004500679299	0.0001501646307	0.01543324255	0.02667848641	0.2489650144	-0.03510593543	-0.009936185488	-0.0187618285	-0.001346372169	0.01230175981	0.5210592289	0.02104998532	0.03945288063	0.001712172775	0.002905271474	0.474802485	-0.01304272201	-0.002231256612	-3.807238694e-05	1.629327124	0.001072438783	-6.844193093e-06	0.002283138911	-0.04744605061	-0.001428551277	0.000150776758	-0.01997790973	0.009240925072
Cell_14	0.003890150168	0.01377521867	0.01582240712	0.5334153994	-6.452634134e-07	4.90426626e-05	0.008085124355	0.003057886379	0.0362684534	0.158044737	0.006781984424	0.01804696932	-0.01645693742	1.496544437e-05	0.7544102371	7.607434035e-05	0.02024213243	0.0008799492269	-0.2261463047	-3.911226056e-05	0.003521829589	-0.01026361611	-0.003393818773	2.789238499e-05	0.01229591198	0.02055587202	-0.004543882163	-0.007487736099	-0.01953814642	-0.009626066768	-0.003007226117	0.009653189126	-0.0009660102163	0.0121636396	-0.00284424429	0.001364159985	0.002469268972	-0.01350802047	-0.003568752164	-0.0009224041992	6.161905054e-05	-0.03091983873	0.1174050981	-3.777633818e-06	0.0004890975073	-0.009924187243	-0.1304326188	-3.007367571e-05	-0.01593581524	0.007900434934
Cell_15	0.01988624623	0.06909707634	0.08236318017	2.668673126	2.969189087e-05	-0.0001669980754	0.04018389229	0.07226302935	0.4097749097	0.7904125885	0.03651037157	0.1172675812	-0.09223858036	-2.950555558e-05	-1.977164867	3.739923463	0.1010749893	0.004022565472	-1.133706418	-4.744729713e-05	0.04740813467	-0.0513457698	-0.0168826685	0.3967392674	0.06177433437	0.1074113742	-0.02437547189	-0.03450699156	0.2715152923	-0.06233136716	-0.01473154148	0.04877273125	-0.007640968137	0.07299301108	0.06289160704	0.00649480004	0.01491389513	-0.06919007831	-0.01805083855	-0.004362431511	-0.0001102098611	-0.1628627613	0.5874763578	6.283020653e-05	0.002032673919	-0.04651696395	-0.6548424859	-0.0001489130125	-0.07937705106	0.04708873603
