Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
Lasso,10,No,scalefree,No,0.6620317109144543,0.19799471350262182,0.23443223443223443
Lasso,10,No,scalefree,Yes,0.5281120943952802,0.038287797675581575,0.17910447761194032
Lasso,10,yes,scalefree,No,0.4149391592920354,-0.23655936220840654,0.14215500945179585
LSCO,10,No,scalefree,No,0.6639841445427729,0.2636652563071382,0.28194993412384717
LSCO,10,No,scalefree,Yes,0.5188384955752212,0.04019821843993187,0.17957610789980732
LSCO,10,yes,scalefree,No,0.5381120943952802,0.04251378425173383,0.18181818181818182
CLR,10,No,scalefree,No,0.4995575221238938,-0.009220833543089956,0.14205816554809844
CLR,10,No,scalefree,Yes,0.4995575221238938,-0.009220833543089956,0.1440548780487805
CLR,10,yes,scalefree,No,0.49902654867256635,-0.004202979810561564,0.14827995255041518
GENIE3,10,No,scalefree,No,0.5314666297935103,0.12014892423752312,0.15441176470588236
GENIE3,10,No,scalefree,Yes,0.5009402654867257,0.008428375047643464,0.14388489208633096
GENIE3,10,yes,scalefree,No,0.5441823377581122,0.10174353312549131,0.17404129793510326
TIGRESS,10,No,scalefree,No,0.5537380162241888,0.0868295158640971,0.19020979020979017
TIGRESS,10,No,scalefree,Yes,0.4997787610619469,-0.006518809251375363,0.14785651793525809
TIGRESS,10,yes,scalefree,No,0.5206554203539823,0.02000163423645514,0.1504315659679408
Lasso,10,No,random,No,0.6275389421569793,0.17886771981229463,0.22291021671826625
Lasso,10,No,random,Yes,0.5217059961733453,0.02414910759471859,0.12076353720296064
Lasso,10,yes,random,No,0.38250467522078935,-0.3315488019892669,0.0830130668716372
LSCO,10,No,random,No,0.6184046957593314,0.1815914253830027,0.17971014492753623
LSCO,10,No,random,Yes,0.5,0.0208458348939313,0.11960635881907646
LSCO,10,yes,random,No,0.4882106065355803,-0.01784860882884573,0.08867585380467347
CLR,10,No,random,No,0.5029510642207785,0.05079482054607103,0.08977272727272728
CLR,10,No,random,Yes,0.4995730145175064,-0.0073494337420139414,0.08465189873417722
CLR,10,yes,random,No,0.4897523484201537,-0.03634088370413972,0.0833976833976834
GENIE3,10,No,random,No,0.5109205590807381,0.04349765719008068,0.08725490196078431
GENIE3,10,No,random,Yes,0.5030618642510458,0.008177769817799387,0.08317139525845317
GENIE3,10,yes,random,No,0.5164092142386146,0.09454347509249113,0.08764940239043825
TIGRESS,10,No,random,No,0.5100571295765818,0.03238686694175348,0.08631319358816275
TIGRESS,10,No,random,Yes,0.5047265671448183,0.018234597024174588,0.0954653937947494
TIGRESS,10,yes,random,No,0.48825249435190093,-0.014795189109032469,0.0851063829787234
Lasso,10,No,smallworld_scalefree,No,0.7639041270164368,0.18564831957531913,0.2535885167464115
Lasso,10,No,smallworld_scalefree,Yes,0.5063986565569182,0.01625414046469526,0.15901455767077266
Lasso,10,yes,smallworld_scalefree,No,0.48360795888249963,-0.2233901178325398,0.12598425196850394
LSCO,10,No,smallworld_scalefree,No,0.7602442623785051,0.2889609956542995,0.31444759206798867
LSCO,10,No,smallworld_scalefree,Yes,0.5,0.015045392721658925,0.15873015873015872
LSCO,10,yes,smallworld_scalefree,No,0.5332135769172053,0.01071280264582386,0.15122228538942584
CLR,10,No,smallworld_scalefree,No,0.519960307363493,0.0666080764108028,0.12392039053698835
CLR,10,No,smallworld_scalefree,Yes,0.49956236323851205,-0.008679504018544858,0.12392039053698835
CLR,10,yes,smallworld_scalefree,No,0.5078713551473207,0.03789029730706367,0.12617839013778098
GENIE3,10,No,smallworld_scalefree,No,0.628409750139942,0.22295856304531794,0.2617283950617284
GENIE3,10,No,smallworld_scalefree,Yes,0.499781181619256,-0.0024935117805709632,0.12448132780082986
GENIE3,10,yes,smallworld_scalefree,No,0.6231377538038777,0.17976144446857556,0.2513863216266174
TIGRESS,10,No,smallworld_scalefree,No,0.5560236120299221,0.07504595993469898,0.17475728155339806
TIGRESS,10,No,smallworld_scalefree,Yes,0.49909928247926316,-0.004075611961429716,0.1194941125163541
TIGRESS,10,yes,smallworld_scalefree,No,0.5523505165131546,0.049842343203769984,0.16515837104072398
Lasso,10,No,smallworld,No,0.7181022337574551,0.20187265109731184,0.2529832935560859
Lasso,10,No,smallworld,Yes,0.5494518009106957,0.052478989490625676,0.18241308793456032
Lasso,10,yes,smallworld,No,0.4817420038609967,-0.21102783676264986,0.14407436096049572
LSCO,10,No,smallworld,No,0.7124898286062756,0.23657319453159645,0.29672447013487474
LSCO,10,No,smallworld,Yes,0.5,0.011785329497885496,0.17627616599338966
LSCO,10,yes,smallworld,No,0.52451696211925,0.024939663155716336,0.16072378924960087
CLR,10,No,smallworld,No,0.5543974402068995,0.15323156979645797,0.18711018711018712
CLR,10,No,smallworld,Yes,0.5045498044704539,0.008575499767846977,0.14216598436918496
CLR,10,yes,smallworld,No,0.5471989405219142,0.10042537029155747,0.17097862767154107
GENIE3,10,No,smallworld,No,0.698645712217979,0.29971625878745234,0.35460992907801414
GENIE3,10,No,smallworld,Yes,0.4997786631252767,-0.006533821682366959,0.1426962072850169
GENIE3,10,yes,smallworld,No,0.6867945461124612,0.26422041587445505,0.33220338983050846
TIGRESS,10,No,smallworld,No,0.6038804670667263,0.17034131544567407,0.23796791443850268
TIGRESS,10,No,smallworld,Yes,0.5025706303417037,0.00983479799592114,0.14886418559690673
TIGRESS,10,yes,smallworld,No,0.5975388441623087,0.09471131319801653,0.2107317073170732
Lasso,10,No,random,No,0.6326463391680783,0.1537058962039384,0.199616122840691
Lasso,10,No,random,Yes,0.5070166406483543,0.016330896845310854,0.1164895710350256
Lasso,10,yes,random,No,0.3685272527983525,-0.37439963128745524,0.0800615858352579
LSCO,10,No,random,No,0.622316515539022,0.21972630976923146,0.24050632911392403
LSCO,10,No,random,Yes,0.5099949070537306,0.015361529014415037,0.11618257261410789
LSCO,10,yes,random,No,0.5116418108745474,0.014418560069674258,0.09583333333333334
CLR,10,No,random,No,0.49957374254049447,-0.007249618237034892,0.08186195826645265
CLR,10,No,random,Yes,0.5044231131187653,0.05159468563500157,0.08305921052631579
CLR,10,yes,random,No,0.5001411631846414,0.0005237433714916024,0.0822085889570552
GENIE3,10,No,random,No,0.5159403682421586,0.07807653214286016,0.10218978102189782
GENIE3,10,No,random,Yes,0.49978687127024723,-0.00512522845268562,0.08013787160706592
GENIE3,10,yes,random,No,0.5123586984200795,0.0808790008806832,0.0911392405063291
TIGRESS,10,No,random,No,0.5231715215730561,0.07232373919751167,0.10465116279069768
